Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
KIA SELTOS,KIA,2021,"81,929 km",Diesel,Auto,"EMI ₹18,813/m*",₹10.99 lakh
KIA SONET,KIA,2022,"21,481 km",Petrol,Manual,"EMI ₹15,393/m*",₹8.99 lakh
KIA SONET,KIA,2020,"41,767 km",Petrol,Manual,"EMI ₹12,816/m*",₹7.26 lakh
Hyundai Verna,Hyundai,2018,"59,644 km",Petrol,Manual,"EMI ₹12,586/m*",₹7.13 lakh
Hyundai i20 Active,Hyundai,2018,"44,751 km",Petrol,Manual,"EMI ₹10,189/m*",₹5.77 lakh
KIA SONET,KIA,2022,"82,623 km",Diesel,Auto,"EMI ₹15,410/m*",₹9.00 lakh
Mahindra XUV500,Mahindra,2015,"1,16,382 km",Diesel,Manual,"EMI ₹21,456/m*",₹6.46 lakh
Skoda Rapid,Skoda,2018,"1,24,743 km",Diesel,Auto,"EMI ₹12,123/m*",₹5.45 lakh
KIA SONET,KIA,2020,"50,236 km",Petrol,Manual,"EMI ₹13,905/m*",₹8.12 lakh
KIA SELTOS,KIA,2019,"39,597 km",Petrol,Auto,"EMI ₹19,263/m*",₹11.25 lakh
Hyundai Grand i10,Hyundai,2014,"36,801 km",Petrol,Manual,"EMI ₹10,134/m*",₹3.05 lakh
Maruti Vitara Brezza,Maruti,2019,"82,253 km",Diesel,Auto,"EMI ₹13,768/m*",₹7.80 lakh
Maruti Dzire,Maruti,2018,"59,430 km",Petrol,Auto,"EMI ₹9,896/m*",₹5.61 lakh
Volkswagen Polo,Volkswagen,2015,"65,152 km",Petrol,Auto,"EMI ₹11,545/m*",₹4.38 lakh
Maruti Swift,Maruti,2018,"30,281 km",Petrol,Auto,"EMI ₹9,423/m*",₹5.34 lakh
Maruti Wagon R 1.0,Maruti,2017,"43,965 km",Petrol,Auto,"EMI ₹7,484/m*",₹3.83 lakh
Maruti Swift Dzire,Maruti,2014,"68,309 km",Petrol,Manual,"EMI ₹11,737/m*",₹3.53 lakh
Maruti Baleno,Maruti,2018,"85,550 km",Petrol,Manual,"EMI ₹9,646/m*",₹5.46 lakh
Volkswagen Polo,Volkswagen,2012,"87,820 km",Diesel,Manual,"EMI ₹9,646/m*",₹2.20 lakh
