Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Tata Tiago,Tata,2019,"47,658 km",Petrol,Manual,"EMI ₹6,355/m*",₹3.60 lakh
Tata Tiago,Tata,2023,"14,332 km",Petrol,Auto,"EMI ₹8,209/m*",₹4.65 lakh
Maruti New Wagon-R,Maruti,2022,"27,107 km",Petrol,Manual,"EMI ₹8,294/m*",₹4.70 lakh
Maruti FRONX,Maruti,2024,"7,554 km",Petrol,Auto,"EMI ₹12,798/m*",₹7.25 lakh
Maruti BREZZA,Maruti,2022,"28,115 km",Petrol,Manual,"EMI ₹14,959/m*",₹8.74 lakh
Honda Jazz,Honda,2017,"28,120 km",Petrol,Auto,"EMI ₹6,629/m*",₹3.39 lakh
Toyota Etios,Toyota,2020,"65,593 km",CNG,Manual,"EMI ₹6,411/m*",₹3.63 lakh
Hyundai EXTER,Hyundai,2023,"36,600 km",Petrol,Manual,"EMI ₹10,415/m*",₹5.90 lakh
Maruti Swift,Maruti,2016,"22,772 km",Petrol,Manual,"EMI ₹7,432/m*",₹3.34 lakh
Maruti Ciaz,Maruti,2021,"46,882 km",Petrol,Manual,"EMI ₹11,199/m*",₹6.34 lakh
Toyota Innova Crysta,Toyota,2022,"86,718 km",Diesel,Auto,"EMI ₹28,338/m*",₹16.55 lakh
Hyundai New Elantra,Hyundai,2018,"54,355 km",Diesel,Auto,"EMI ₹15,178/m*",₹7.76 lakh
Datsun Redi Go,Datsun,2020,"41,254 km",Petrol,Manual,"EMI ₹4,943/m*",₹2.80 lakh
Tata NEXON,Tata,2019,"21,376 km",Petrol,Manual,"EMI ₹7,843/m*",₹4.44 lakh
Maruti S PRESSO,Maruti,2019,"33,802 km",Petrol,Auto,"EMI ₹5,472/m*",₹3.10 lakh
Hyundai VENUE,Hyundai,2021,"65,283 km",Petrol,Manual,"EMI ₹11,828/m*",₹6.70 lakh
Maruti Baleno,Maruti,2018,"49,808 km",Petrol,Manual,"EMI ₹7,414/m*",₹4.20 lakh
Hyundai NEW I20,Hyundai,2024,"11,965 km",Petrol,Manual,"EMI ₹12,533/m*",₹7.10 lakh
Tata Tiago,Tata,2024,"26,153 km",Petrol,Manual,"EMI ₹8,478/m*",₹4.80 lakh
Volkswagen TAIGUN,Volkswagen,2022,"59,704 km",Petrol,Manual,"EMI ₹14,897/m*",₹8.70 lakh
Maruti S Cross,Maruti,2021,"28,379 km",Petrol,Manual,"EMI ₹11,076/m*",₹6.27 lakh
Mahindra XUV300,Mahindra,2020,"81,792 km",Petrol,Manual,"EMI ₹11,651/m*",₹6.60 lakh
Maruti S Cross,Maruti,2022,"47,877 km",Petrol,Manual,"EMI ₹10,768/m*",₹6.10 lakh
Honda WR-V,Honda,2018,"34,229 km",Petrol,Manual,"EMI ₹7,944/m*",₹4.50 lakh
Nissan MAGNITE,Nissan,2022,"18,531 km",Petrol,Auto,"EMI ₹10,833/m*",₹6.14 lakh
Honda WR-V,Honda,2020,"86,665 km",Diesel,Manual,"EMI ₹8,964/m*",₹5.08 lakh
Tata NEXON,Tata,2023,"12,845 km",Diesel,Manual,"EMI ₹17,465/m*",₹10.20 lakh
Hyundai Creta,Hyundai,2022,"73,081 km",Diesel,Manual,"EMI ₹17,858/m*",₹10.43 lakh
Hyundai GRAND I10 NIOS,Hyundai,2022,"6,976 km",Petrol,Auto,"EMI ₹9,706/m*",₹5.50 lakh
Hyundai GRAND I10 NIOS,Hyundai,2023,"67,739 km",CNG,Manual,"EMI ₹9,532/m*",₹5.40 lakh
Tata NEXON,Tata,2021,"87,615 km",Petrol,Manual,"EMI ₹12,004/m*",₹6.80 lakh
Tata TIAGO NRG,Tata,2022,"27,628 km",Petrol,Auto,"EMI ₹7,970/m*",₹4.51 lakh
Honda WR-V,Honda,2017,"73,513 km",Diesel,Manual,"EMI ₹11,351/m*",₹5.10 lakh
Tata NEXON,Tata,2023,"16,636 km",Petrol,Manual,"EMI ₹18,939/m*",₹11.06 lakh
KIA SELTOS,KIA,2021,"70,395 km",Petrol,Manual,"EMI ₹17,670/m*",₹10.32 lakh
