Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Honda City,Honda,2015,"1,97,153 km",Petrol,Manual,"EMI ₹13,272/m*",₹5.04 lakh
Honda Amaze,Honda,2015,"37,110 km",Petrol,Manual,"EMI ₹9,217/m*",₹3.50 lakh
Renault Duster,Renault,2015,"1,38,431 km",Diesel,Manual,"EMI ₹10,629/m*",₹3.20 lakh
Hyundai i20 Active,Hyundai,2015,"1,53,916 km",Diesel,Manual,"EMI ₹12,954/m*",₹3.90 lakh
Volkswagen VIRTUS,Volkswagen,2022,"83,467 km",Petrol,Auto,"EMI ₹16,951/m*",₹9.90 lakh
Hyundai Grand i10,Hyundai,2017,"46,076 km",Petrol,Manual,"EMI ₹6,843/m*",₹3.50 lakh
Tata Indica Vista,Tata,2011,"1,18,634 km",Diesel,Manual,"EMI ₹6,843/m*",₹0.80 lakh
Maruti Baleno,Maruti,2018,"30,720 km",Petrol,Manual,"EMI ₹11,086/m*",₹6.28 lakh
Tata Tiago,Tata,2019,"55,549 km",Petrol,Manual,"EMI ₹5,825/m*",₹3.30 lakh
Hyundai New Elantra,Hyundai,2013,"1,06,475 km",Petrol,Manual,"EMI ₹14,404/m*",₹3.06 lakh
Hyundai Verna,Hyundai,2015,"63,668 km",Petrol,Manual,"EMI ₹12,140/m*",₹4.61 lakh
Maruti Baleno,Maruti,2017,"98,442 km",Petrol,Manual,"EMI ₹9,775/m*",₹5.00 lakh
Hyundai Elite i20,Hyundai,2014,"91,117 km",Petrol,Manual,"EMI ₹11,226/m*",₹3.38 lakh
Maruti BREZZA,Maruti,2022,"39,785 km",Petrol,Manual,"EMI ₹13,903/m*",₹8.12 lakh
Maruti Celerio,Maruti,2018,"19,523 km",Petrol,Manual,"EMI ₹6,779/m*",₹3.84 lakh
Honda Amaze,Honda,2020,"63,983 km",Petrol,Auto,"EMI ₹11,580/m*",₹6.56 lakh
Ford Ecosport,Ford,2019,"76,033 km",Petrol,Auto,"EMI ₹11,704/m*",₹6.63 lakh
Mahindra XUV500,Mahindra,2019,"1,74,015 km",Diesel,Auto,"EMI ₹19,025/m*",₹8.75 lakh
Nissan Micra,Nissan,2014,"80,097 km",Petrol,Auto,"EMI ₹10,396/m*",₹3.13 lakh
Honda City,Honda,2016,"82,042 km",Petrol,Manual,"EMI ₹10,855/m*",₹4.88 lakh
Maruti S PRESSO,Maruti,2024,"11,703 km",Petrol,Auto,"EMI ₹9,515/m*",₹5.39 lakh
KIA SELTOS,KIA,2023,"14,176 km",Petrol,Auto,"EMI ₹28,218/m*",₹16.48 lakh
Hyundai Verna,Hyundai,2018,"13,347 km",Petrol,Auto,"EMI ₹14,931/m*",₹8.72 lakh
Mahindra XUV700,Mahindra,2022,"90,000 km",Diesel,Auto,"EMI ₹33,817/m*",₹19.75 lakh
Hyundai Creta,Hyundai,2017,"62,437 km",Petrol,Manual,"EMI ₹15,249/m*",₹7.80 lakh
Maruti Celerio X,Maruti,2019,"30,124 km",Petrol,Auto,"EMI ₹8,156/m*",₹4.62 lakh
Mahindra XUV500,Mahindra,2017,"71,847 km",Diesel,Auto,"EMI ₹20,177/m*",₹9.28 lakh
Ford Ecosport,Ford,2018,"1,19,626 km",Diesel,Manual,"EMI ₹16,327/m*",₹7.34 lakh
Honda Amaze,Honda,2023,"11,033 km",Petrol,Manual,"EMI ₹12,692/m*",₹7.19 lakh
Hyundai i20 Active,Hyundai,2015,"37,579 km",Petrol,Manual,"EMI ₹11,929/m*",₹4.53 lakh
Honda Amaze,Honda,2021,"58,749 km",Petrol,Auto,"EMI ₹12,886/m*",₹7.30 lakh
Mercedes Benz E Class,Mercedes,2014,"87,750 km",Diesel,Auto,"EMI ₹76,623/m*",₹16.44 lakh
KIA SELTOS,KIA,2021,"37,671 km",Petrol,Manual,"EMI ₹17,122/m*",₹10.00 lakh
Tata Tiago,Tata,2023,"22,685 km",Petrol,Auto,"EMI ₹10,388/m*",₹5.88 lakh
Jeep Compass,Jeep,2018,"1,24,041 km",Diesel,Manual,"EMI ₹19,916/m*",₹9.16 lakh
Maruti Ertiga,Maruti,2021,"94,200 km",Petrol,Manual,"EMI ₹15,838/m*",₹9.25 lakh
Hyundai Creta,Hyundai,2020,"74,684 km",Petrol,Auto,"EMI ₹22,499/m*",₹13.14 lakh
Tata ALTROZ,Tata,2022,"6,450 km",Petrol,Auto,"EMI ₹13,504/m*",₹7.65 lakh
Hyundai Creta,Hyundai,2021,"56,030 km",Petrol,Auto,"EMI ₹23,115/m*",₹13.50 lakh
MG HECTOR,MG,2021,"43,852 km",Petrol,Auto,"EMI ₹20,461/m*",₹11.95 lakh
KIA SELTOS,KIA,2022,"32,593 km",Petrol,Manual,"EMI ₹18,355/m*",₹10.72 lakh
Hyundai Creta,Hyundai,2018,"82,444 km",Diesel,Auto,"EMI ₹20,557/m*",₹10.80 lakh
Tata Tiago,Tata,2020,"32,756 km",Petrol,Auto,"EMI ₹8,738/m*",₹4.95 lakh
Maruti Celerio,Maruti,2024,"6,544 km",Petrol,Auto,"EMI ₹12,127/m*",₹6.87 lakh
Jeep Compass,Jeep,2019,"68,000 km",Diesel,Auto,"EMI ₹25,684/m*",₹15.00 lakh
Maruti Grand Vitara,Maruti,2023,"59,767 km",Petrol,Manual,"EMI ₹20,752/m*",₹12.12 lakh
Maruti Grand Vitara,Maruti,2022,"20,534 km",Petrol,Manual,"EMI ₹22,773/m*",₹13.30 lakh
KIA SONET,KIA,2022,"70,529 km",Diesel,Auto,"EMI ₹19,348/m*",₹11.30 lakh
KIA SELTOS,KIA,2020,"95,037 km",Petrol,Manual,"EMI ₹17,619/m*",₹10.29 lakh
Jeep Compass,Jeep,2021,"51,043 km",Petrol,Auto,"EMI ₹27,293/m*",₹15.94 lakh
CITROEN C3,CITROEN,2022,"10,624 km",Petrol,Manual,"EMI ₹17,122/m*",₹10.00 lakh
Audi Q8 E-TRON,Audi,2023,"24,686 km",Electric,Auto,"EMI ₹173,724/m*",₹1.01 Crore
Tata NEXON EV,Tata,2023,"27,257 km",Electric,Auto,"EMI ₹20,547/m*",₹12.00 lakh
Tata NEXON EV,Tata,2021,"38,971 km",Electric,Auto,"EMI ₹14,160/m*",₹8.27 lakh
Maruti XL6,Maruti,2020,"46,331 km",Petrol,Manual,"EMI ₹15,736/m*",₹9.19 lakh
Volkswagen Vento,Volkswagen,2014,"1,84,455 km",Diesel,Manual,"EMI ₹14,075/m*",₹2.99 lakh
Volkswagen Polo,Volkswagen,2019,"75,551 km",Petrol,Manual,"EMI ₹5,825/m*",₹3.30 lakh
Renault Kwid,Renault,2015,"1,08,555 km",Petrol,Manual,"EMI ₹3,008/m*",₹1.14 lakh
Maruti S PRESSO,Maruti,2021,"57,016 km",Petrol,Manual,"EMI ₹4,678/m*",₹2.65 lakh
Hyundai VENUE,Hyundai,2020,"78,987 km",Petrol,Manual,"EMI ₹10,080/m*",₹5.71 lakh
Hyundai VENUE,Hyundai,2020,"39,128 km",Petrol,Manual,"EMI ₹11,131/m*",₹6.31 lakh
Mahindra MARAZZO,Mahindra,2019,"50,344 km",Diesel,Manual,"EMI ₹10,747/m*",₹6.09 lakh
Ford Ecosport,Ford,2016,"57,891 km",Petrol,Manual,"EMI ₹9,757/m*",₹4.39 lakh
Maruti Swift,Maruti,2017,"67,049 km",Petrol,Manual,"EMI ₹7,370/m*",₹3.77 lakh
Ford Classic,Ford,2014,"85,337 km",Diesel,Manual,"EMI ₹10,356/m*",₹2.20 lakh
Maruti Alto K10,Maruti,2022,"51,407 km",CNG,Manual,"EMI ₹5,349/m*",₹3.03 lakh
Hyundai Eon,Hyundai,2016,"36,637 km",Petrol,Manual,"EMI ₹3,937/m*",₹1.77 lakh
