Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Volkswagen Vento,Volkswagen,2011,"1,91,005 km",Diesel,Manual,"EMI ₹22,212/m*",₹1.55 lakh
Ford Figo Aspire,Ford,2015,"1,03,801 km",Petrol,Manual,"EMI ₹6,452/m*",₹2.45 lakh
Maruti Baleno,Maruti,2022,"88,989 km",Petrol,Manual,"EMI ₹9,532/m*",₹5.40 lakh
KIA SELTOS,KIA,2020,"1,12,051 km",Diesel,Manual,"EMI ₹19,568/m*",₹9.00 lakh
Maruti Alto,Maruti,2012,"1,02,600 km",Petrol,Manual,"EMI ₹9,773/m*",₹1.10 lakh
Maruti S PRESSO,Maruti,2020,"47,313 km",Petrol,Manual,"EMI ₹6,178/m*",₹3.50 lakh
Hyundai Grand i10,Hyundai,2015,"92,950 km",Petrol,Manual,"EMI ₹8,163/m*",₹3.10 lakh
Tata NEXON,Tata,2019,"91,142 km",Diesel,Manual,"EMI ₹8,544/m*",₹4.84 lakh
Maruti Baleno,Maruti,2023,"45,918 km",Petrol,Manual,"EMI ₹12,357/m*",₹7.00 lakh
Chevrolet Sail,Chevrolet,2014,"1,04,088 km",Petrol,Manual,"EMI ₹4,085/m*",₹1.23 lakh
Toyota Glanza,Toyota,2020,"49,393 km",Petrol,Manual,"EMI ₹9,709/m*",₹5.50 lakh
Honda City,Honda,2010,"1,10,425 km",Petrol,Manual,"EMI ₹9,709/m*",₹1.26 lakh
Tata Hexa,Tata,2018,"3,95,607 km",Diesel,Manual,"EMI ₹13,347/m*",₹6.00 lakh
Maruti Ritz,Maruti,2011,"1,59,007 km",Diesel,Manual,"EMI ₹13,347/m*",₹1.57 lakh
Ford Figo,Ford,2010,"1,01,121 km",Petrol,Manual,"EMI ₹13,347/m*",₹0.86 lakh
Tata Harrier,Tata,2022,"75,622 km",Diesel,Auto,"EMI ₹23,287/m*",₹13.60 lakh
Ford Ecosport,Ford,2015,"1,31,127 km",Diesel,Manual,"EMI ₹11,791/m*",₹3.55 lakh
Maruti Swift Dzire,Maruti,2014,"88,536 km",Diesel,Manual,"EMI ₹15,440/m*",₹3.28 lakh
Maruti Swift,Maruti,2015,"55,138 km",Petrol,Manual,"EMI ₹9,103/m*",₹3.46 lakh
Hyundai Verna,Hyundai,2017,"1,44,228 km",Diesel,Manual,"EMI ₹9,343/m*",₹4.20 lakh
Maruti Wagon R 1.0,Maruti,2014,"65,215 km",Petrol,Manual,"EMI ₹7,971/m*",₹2.40 lakh
Fiat Linea,Fiat,2011,"1,23,457 km",Diesel,Manual,"EMI ₹7,971/m*",₹0.91 lakh
Maruti Wagon R 1.0,Maruti,2011,"84,728 km",Petrol,Manual,"EMI ₹7,971/m*",₹1.50 lakh
Honda City,Honda,2011,"67,157 km",Petrol,Manual,"EMI ₹7,971/m*",₹1.90 lakh
Hyundai i20,Hyundai,2011,"1,37,861 km",Diesel,Manual,"EMI ₹7,971/m*",₹1.60 lakh
Maruti Ertiga,Maruti,2016,"1,66,634 km",Diesel,Manual,"EMI ₹15,537/m*",₹5.90 lakh
Skoda KUSHAQ,Skoda,2021,"13,715 km",Petrol,Manual,"EMI ₹13,698/m*",₹8.00 lakh
Maruti Wagon R 1.0,Maruti,2017,"1,11,468 km",Petrol,Manual,"EMI ₹6,865/m*",₹3.09 lakh
Hyundai i10,Hyundai,2015,"1,40,280 km",Petrol,Manual,"EMI ₹6,320/m*",₹2.40 lakh
Maruti Alto K10,Maruti,2022,"64,674 km",Petrol,Manual,"EMI ₹6,443/m*",₹3.65 lakh
Honda City,Honda,2015,"1,35,800 km",Diesel,Manual,"EMI ₹15,212/m*",₹4.58 lakh
Maruti Celerio,Maruti,2017,"69,067 km",Petrol,Auto,"EMI ₹6,745/m*",₹3.45 lakh
Maruti A Star,Maruti,2010,"50,056 km",Petrol,Manual,"EMI ₹6,745/m*",₹1.50 lakh
Maruti Swift,Maruti,2014,"2,13,960 km",Diesel,Manual,"EMI ₹18,123/m*",₹3.85 lakh
Hyundai Elite i20,Hyundai,2015,"50,995 km",Petrol,Manual,"EMI ₹10,270/m*",₹3.90 lakh
Maruti S Cross,Maruti,2018,"1,19,688 km",Diesel,Manual,"EMI ₹12,012/m*",₹5.40 lakh
Maruti IGNIS,Maruti,2017,"84,215 km",Petrol,Manual,"EMI ₹6,667/m*",₹3.41 lakh
Maruti Swift,Maruti,2023,"47,746 km",Petrol,Manual,"EMI ₹9,585/m*",₹5.43 lakh
Ford Ecosport,Ford,2017,"86,162 km",Petrol,Manual,"EMI ₹8,993/m*",₹4.60 lakh
Volkswagen Vento,Volkswagen,2022,"12,283 km",Petrol,Manual,"EMI ₹15,410/m*",₹9.00 lakh
Hyundai i20,Hyundai,2011,"1,72,000 km",Diesel,Manual,"EMI ₹15,410/m*",₹1.74 lakh
Maruti Ertiga,Maruti,2013,"1,05,925 km",Diesel,Manual,"EMI ₹40,870/m*",₹4.60 lakh
Hyundai i20 Active,Hyundai,2015,"89,769 km",Diesel,Manual,"EMI ₹12,323/m*",₹3.71 lakh
BMW X1,BMW,2012,"1,61,764 km",Diesel,Auto,"EMI ₹12,323/m*",₹3.10 lakh
