Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Hyundai Grand i10,Hyundai,2015,"43,941 km",Petrol,Manual,"EMI ₹8,820/m*",₹3.35 lakh
Honda WR-V,Honda,2019,"80,812 km",Diesel,Manual,"EMI ₹8,915/m*",₹5.05 lakh
Hyundai Grand i10,Hyundai,2016,"81,411 km",CNG,Auto,"EMI ₹10,577/m*",₹3.18 lakh
Ford Ecosport,Ford,2017,"79,818 km",Diesel,Manual,"EMI ₹10,719/m*",₹4.82 lakh
Mahindra XUV300,Mahindra,2019,"62,977 km",Diesel,Manual,"EMI ₹11,438/m*",₹6.48 lakh
Maruti Ciaz,Maruti,2018,"66,130 km",CNG,Manual,"EMI ₹14,572/m*",₹6.55 lakh
Maruti Swift,Maruti,2016,"1,17,732 km",Petrol,Manual,"EMI ₹7,148/m*",₹3.21 lakh
Maruti Baleno,Maruti,2017,"85,745 km",Petrol,Auto,"EMI ₹7,697/m*",₹3.94 lakh
Skoda Octavia,Skoda,2018,"1,47,902 km",Diesel,Auto,"EMI ₹20,653/m*",₹9.50 lakh
Ford FREESTYLE,Ford,2020,"44,725 km",Petrol,Manual,"EMI ₹7,562/m*",₹4.28 lakh
KIA SELTOS,KIA,2021,"53,710 km",Petrol,Manual,"EMI ₹14,415/m*",₹8.42 lakh
Renault Kwid,Renault,2016,"90,609 km",Petrol,Manual,"EMI ₹3,025/m*",₹1.36 lakh
Maruti Alto 800,Maruti,2013,"69,170 km",Petrol,Manual,"EMI ₹6,684/m*",₹1.42 lakh
Mahindra XUV500,Mahindra,2014,"86,357 km",Diesel,Manual,"EMI ₹13,887/m*",₹2.95 lakh
Hyundai Eon,Hyundai,2017,"42,361 km",Petrol,Manual,"EMI ₹3,226/m*",₹1.65 lakh
Maruti Wagon R 1.0,Maruti,2012,"30,982 km",Petrol,Manual,"EMI ₹13,238/m*",₹1.49 lakh
Maruti Wagon R 1.0,Maruti,2012,"1,12,349 km",Petrol,Manual,"EMI ₹13,949/m*",₹1.57 lakh
Hyundai i10,Hyundai,2014,"56,389 km",Petrol,Manual,"EMI ₹6,776/m*",₹2.04 lakh
Hyundai i10,Hyundai,2013,"58,236 km",Petrol,Manual,"EMI ₹7,485/m*",₹1.59 lakh
Maruti Swift,Maruti,2013,"94,729 km",Diesel,Manual,"EMI ₹25,766/m*",₹2.90 lakh
