Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price
Maruti Baleno,Maruti,2018,"39,561 km",Petrol,Manual,"EMI ₹8,473/m*",₹4.80 lakh
Mahindra Thar,Mahindra,2021,"40,515 km",Petrol,Auto,"EMI ₹17,122/m*",₹10.00 lakh
Maruti S Cross,Maruti,2018,"82,043 km",Diesel,Manual,"EMI ₹13,123/m*",₹6.71 lakh
Tata Tiago,Tata,2018,"1,21,475 km",Petrol,Manual,"EMI ₹6,473/m*",₹2.91 lakh
Maruti Celerio,Maruti,2018,"44,980 km",Petrol,Auto,"EMI ₹6,055/m*",₹3.43 lakh
Maruti Wagon R 1.0,Maruti,2017,"35,880 km",Petrol,Manual,"EMI ₹6,139/m*",₹3.14 lakh
Maruti Celerio,Maruti,2015,"56,228 km",Petrol,Auto,"EMI ₹7,235/m*",₹2.75 lakh
Renault Kwid,Renault,2016,"46,215 km",Petrol,Manual,"EMI ₹5,380/m*",₹2.42 lakh
Datsun Redi Go,Datsun,2018,"1,03,464 km",Petrol,Manual,"EMI ₹4,004/m*",₹1.80 lakh
Hyundai Creta,Hyundai,2018,"36,350 km",Petrol,Auto,"EMI ₹14,715/m*",₹8.59 lakh
Renault Lodgy,Renault,2015,"88,555 km",Diesel,Manual,"EMI ₹10,924/m*",₹3.29 lakh
Renault Kwid,Renault,2017,"1,01,118 km",Petrol,Auto,"EMI ₹5,606/m*",₹2.52 lakh
Tata NEXON,Tata,2018,"31,076 km",Petrol,Manual,"EMI ₹9,762/m*",₹5.53 lakh
Tata NEXON,Tata,2018,"22,909 km",Petrol,Auto,"EMI ₹10,691/m*",₹6.06 lakh
Maruti Wagon R 1.0,Maruti,2017,"20,927 km",Petrol,Auto,"EMI ₹7,297/m*",₹3.73 lakh
KIA SELTOS,KIA,2020,"85,243 km",Diesel,Manual,"EMI ₹14,109/m*",₹8.24 lakh
Hyundai Elite i20,Hyundai,2017,"1,03,531 km",Petrol,Manual,"EMI ₹9,676/m*",₹4.35 lakh
Toyota Etios,Toyota,2013,"1,29,839 km",Petrol,Manual,"EMI ₹13,025/m*",₹2.77 lakh
Hyundai Elite i20,Hyundai,2017,"1,31,421 km",Diesel,Manual,"EMI ₹9,676/m*",₹4.35 lakh
Maruti Swift Dzire,Maruti,2014,"34,273 km",Petrol,Manual,"EMI ₹11,725/m*",₹3.53 lakh
KIA SELTOS,KIA,2020,"58,895 km",Petrol,Manual,"EMI ₹15,239/m*",₹8.90 lakh
Honda Amaze,Honda,2015,"1,09,469 km",Petrol,Manual,"EMI ₹7,268/m*",₹2.76 lakh
Maruti S PRESSO,Maruti,2020,"58,127 km",Petrol,Auto,"EMI ₹6,308/m*",₹3.57 lakh
Maruti Celerio,Maruti,2014,"32,992 km",Petrol,Auto,"EMI ₹9,765/m*",₹2.94 lakh
Maruti IGNIS,Maruti,2017,"1,03,288 km",Petrol,Auto,"EMI ₹7,541/m*",₹3.39 lakh
Hyundai Eon,Hyundai,2017,"52,385 km",Petrol,Manual,"EMI ₹4,751/m*",₹2.43 lakh
