Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Maruti Ciaz,Maruti,2018,101049,Petrol,Manual,10201,459000,8,Ahmedabad
Mahindra XUV300,Mahindra,2019,134003,Diesel,Manual,12735,573000,7,Ahmedabad
Hyundai Grand i10,Hyundai,2018,66773,Petrol,Manual,6593,373000,8,Ahmedabad
Mahindra XUV300,Mahindra,2021,37334,Diesel,Manual,14022,819000,5,Ahmedabad
Hyundai Eon,Hyundai,2017,18625,Petrol,Manual,4396,225000,9,Ahmedabad
Mahindra BOLERO NEO,Mahindra,2021,124389,Diesel,Manual,15696,706000,5,Ahmedabad
Maruti IGNIS,Maruti,2018,85388,Petrol,Auto,6307,357000,8,Ahmedabad
Hyundai Grand i10,Hyundai,2017,65345,CNG,Manual,8983,341000,9,Ahmedabad
Hyundai Xcent,Hyundai,2015,61983,Petrol,Manual,8817,335000,11,Ahmedabad
Tata TIAGO NRG,Tata,2022,52438,Petrol,Manual,7729,438000,4,Ahmedabad
Ford Ecosport,Ford,2018,104012,Diesel,Manual,11902,535000,8,Ahmedabad
Renault Kwid,Renault,2017,43063,Petrol,Auto,4225,216000,9,Ahmedabad
Tata Tiago,Tata,2019,61791,Diesel,Manual,6690,379000,7,Ahmedabad
Ford Ecosport,Ford,2013,73126,Diesel,Manual,26279,296000,13,Ahmedabad
Renault Kwid,Renault,2020,98530,Petrol,Manual,4497,254999,6,Ahmedabad
KIA CARENS,KIA,2022,92716,Diesel,Manual,20065,1172000,4,Ahmedabad
Mahindra MARAZZO,Mahindra,2019,84800,Diesel,Manual,10069,570000,7,Ahmedabad
Hyundai Grand i10,Hyundai,2014,47125,Petrol,Manual,10639,320000,12,Ahmedabad
Hyundai i10,Hyundai,2015,61002,Petrol,Manual,5702,217000,11,Ahmedabad
Hyundai NEW SANTRO,Hyundai,2021,79520,CNG,Manual,6864,389000,5,Ahmedabad
Maruti Wagon R 1.0,Maruti,2015,57629,Petrol,Manual,6488,246000,11,Ahmedabad
Hyundai Elite i20,Hyundai,2017,131406,Petrol,Manual,8810,396000,9,Ahmedabad
Renault Duster,Renault,2018,77522,Petrol,Manual,7155,405000,8,Ahmedabad
Tata Zest,Tata,2014,64879,Diesel,Manual,11966,254000,12,Ahmedabad
Maruti Eeco,Maruti,2020,65614,Petrol,Manual,6348,360000,6,Ahmedabad
Ford Ecosport,Ford,2018,90566,Diesel,Manual,9794,501000,8,Ahmedabad
Ford Ecosport,Ford,2018,60421,CNG,Auto,11044,496000,8,Ahmedabad
Hyundai Grand i10,Hyundai,2015,20964,Petrol,Manual,8877,337000,11,Ahmedabad
Hyundai Grand i10,Hyundai,2016,46536,Petrol,Manual,6924,311000,10,Ahmedabad
Maruti Swift,Maruti,2016,79967,Petrol,Manual,7326,329000,10,Ahmedabad
Honda WR-V,Honda,2017,79377,Petrol,Manual,7673,392000,9,Ahmedabad
Tata ALTROZ,Tata,2021,29120,Petrol,Manual,10324,585000,5,Ahmedabad
Tata NEXON,Tata,2022,71970,Diesel,Auto,13859,809000,4,Ahmedabad
Honda Jazz,Honda,2017,37272,Petrol,Manual,7236,370000,9,Ahmedabad
Mahindra XUV300,Mahindra,2022,26264,Petrol,Auto,13416,760000,4,Ahmedabad
Hyundai Tucson,Hyundai,2021,83851,Petrol,Auto,17948,1048000,5,Ahmedabad
KIA SONET,KIA,2023,39843,Petrol,Auto,15538,907000,3,Ahmedabad
Honda Jazz,Honda,2015,74952,Petrol,Manual,8743,332000,11,Ahmedabad
Honda WR-V,Honda,2019,45867,Petrol,Manual,9226,523000,7,Ahmedabad
Hyundai Verna,Hyundai,2015,104380,CNG,Manual,23751,505000,11,Ahmedabad
Ford Ecosport,Ford,2019,126514,Diesel,Manual,11780,530000,7,Ahmedabad
