Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Honda City,Honda,2019,34059,Petrol,Auto,12622,715000,7,Jaipur
Maruti Ciaz,Maruti,2017,73500,Petrol,Manual,10225,523000,9,Jaipur
Ford Ecosport,Ford,2014,71643,Petrol,Manual,10861,327000,12,Jaipur
Maruti Dzire,Maruti,2020,53504,Petrol,Manual,8809,499000,6,Jaipur
Maruti Ertiga,Maruti,2013,99718,Petrol,Manual,16805,357000,13,Jaipur
Maruti Baleno,Maruti,2017,114346,Petrol,Auto,7897,355000,9,Jaipur
Maruti Ertiga,Maruti,2012,189880,Diesel,Manual,7897,246000,14,Jaipur
Hyundai AURA,Hyundai,2021,41879,Petrol,Auto,9197,521000,5,Jaipur
Renault Duster,Renault,2015,106697,Diesel,Manual,8005,241000,11,Jaipur
Hyundai NEW I20,Hyundai,2022,89200,Petrol,Manual,9744,552000,4,Jaipur
Tata ALTROZ,Tata,2021,52730,Petrol,Manual,7644,433000,5,Jaipur
Maruti FRONX,Maruti,2025,4252,Petrol,Manual,12392,702000,1,Jaipur
Hyundai Grand i10,Hyundai,2015,78537,Petrol,Manual,7979,303000,11,Jaipur
Maruti Baleno,Maruti,2021,53023,Petrol,Manual,8897,504000,5,Jaipur
Mahindra XUV500,Mahindra,2016,144986,Diesel,Auto,14721,559000,10,Jaipur
Toyota Etios Liva,Toyota,2016,81418,Petrol,Manual,6651,299000,10,Jaipur
Hyundai i10,Hyundai,2011,152060,Petrol,Manual,6651,122000,15,Jaipur
Ford Figo Aspire,Ford,2016,39605,Petrol,Manual,6718,302000,10,Jaipur
Maruti Baleno,Maruti,2021,49114,Petrol,Manual,8950,507000,5,Jaipur
Tata NEXON,Tata,2018,75592,Petrol,Manual,7008,397000,8,Jaipur
Maruti Celerio,Maruti,2019,44080,Petrol,Manual,6655,377000,7,Jaipur
Maruti Swift Dzire,Maruti,2014,150981,Diesel,Manual,16946,360000,12,Jaipur
Maruti Celerio,Maruti,2021,41744,Petrol,Auto,6743,382000,5,Jaipur
Hyundai Grand i10,Hyundai,2015,76239,Petrol,Manual,7610,289000,11,Jaipur
Skoda Rapid,Skoda,2019,58000,Diesel,Auto,10856,615000,7,Jaipur
Tata Tiago,Tata,2019,84744,Petrol,Manual,6902,391000,7,Jaipur
Hyundai GRAND I10 NIOS,Hyundai,2020,38904,Petrol,Manual,7308,413999,6,Jaipur
Mahindra XUV500,Mahindra,2017,80139,Diesel,Manual,12657,569000,9,Jaipur
Maruti Ciaz,Maruti,2018,142718,Petrol,Manual,9676,434999,8,Jaipur
Hyundai Elite i20,Hyundai,2016,62790,Petrol,Manual,8787,395000,10,Jaipur
Maruti Ciaz,Maruti,2015,104264,Diesel,Manual,13651,411000,11,Jaipur
Hyundai Xcent,Hyundai,2015,72399,Petrol,Manual,8558,325000,11,Jaipur
Hyundai Grand i10,Hyundai,2017,87954,Petrol,Manual,6021,308000,9,Jaipur
Maruti Dzire,Maruti,2017,138103,Diesel,Auto,10255,461000,9,Jaipur
Hyundai GRAND I10 NIOS,Hyundai,2021,17403,Petrol,Manual,8085,458000,5,Jaipur
Honda City,Honda,2017,54901,Petrol,Manual,8856,453000,9,Jaipur
Hyundai NEW SANTRO,Hyundai,2018,48230,Petrol,Manual,6002,340000,8,Jaipur
Honda Amaze,Honda,2019,104473,Diesel,Manual,10766,484000,7,Jaipur
Maruti Celerio,Maruti,2019,45608,Petrol,Auto,6055,343000,7,Jaipur
Tata ALTROZ,Tata,2022,23681,Petrol,Manual,9162,519000,4,Jaipur
Maruti Swift,Maruti,2015,104668,Petrol,Manual,8321,316000,11,Jaipur
Hyundai Eon,Hyundai,2013,41592,Petrol,Manual,7673,163000,13,Jaipur
Ford Ecosport,Ford,2015,206437,Diesel,Manual,10463,315000,11,Jaipur
Maruti Swift Dzire,Maruti,2014,298384,Diesel,Manual,15440,328000,12,Jaipur
Tata NEXON,Tata,2020,77433,Petrol,Manual,9921,562000,6,Jaipur
