Car Name,Company,Year of Manufacture,Distance Driven,Fuel Type,Transmission Type,EMI,Price,Car Age,City
Chevrolet Beat,Chevrolet,2016,138800,Petrol,Manual,3114,140000,10,Surat
Volkswagen Vento,Volkswagen,2016,94772,Diesel,Auto,9691,368000,10,Surat
Tata NEXON,Tata,2019,103918,Petrol,Manual,9587,430999,7,Surat
Skoda Fabia,Skoda,2011,167998,Diesel,Manual,9587,96000,15,Surat
Renault Pulse,Renault,2013,200000,Diesel,Manual,10928,123000,13,Surat
Maruti Ciaz,Maruti,2015,70127,Diesel,Manual,14282,430000,11,Surat
Maruti Ciaz,Maruti,2015,149923,Diesel,Manual,13618,409999,11,Surat
Maruti Baleno,Maruti,2020,111527,Petrol,Manual,9165,412000,6,Surat
Maruti Eeco,Maruti,2015,97876,Petrol,Manual,5425,206000,11,Surat
Skoda SLAVIA,Skoda,2022,83462,Petrol,Auto,15307,894000,4,Surat
Toyota Innova Crysta,Toyota,2018,89895,Diesel,Manual,19262,1011999,8,Surat
Hyundai i20,Hyundai,2014,62,Diesel,Manual,9179,195000,12,Surat
Maruti Alto K10,Maruti,2023,35982,Petrol,Manual,7997,453000,3,Surat
Maruti Alto K10,Maruti,2024,9369,Petrol,Manual,6796,385000,2,Surat
Hyundai Grand i10,Hyundai,2016,118073,Petrol,Manual,6718,302000,10,Surat
Volkswagen Vento,Volkswagen,2017,171508,Diesel,Auto,8987,404000,9,Surat
Maruti Ertiga,Maruti,2014,129338,Diesel,Manual,18688,397000,12,Surat
Maruti Celerio,Maruti,2019,73357,Petrol,Manual,4643,263000,7,Surat
Renault TRIBER,Renault,2021,160229,Petrol,Manual,10010,450000,5,Surat
Audi A4,Audi,2013,125000,Diesel,Auto,53309,600000,13,Surat
Volkswagen Ameo,Volkswagen,2017,87690,Diesel,Manual,7474,336000,9,Surat
Maruti Eeco,Maruti,2011,129737,Petrol,Manual,7474,135000,15,Surat
Hyundai Creta,Hyundai,2018,77667,Petrol,Manual,9374,531000,8,Surat
Tata PUNCH,Tata,2024,9884,Petrol,Auto,11633,659000,2,Surat
Volkswagen Vento,Volkswagen,2016,128938,Diesel,Auto,9480,360000,10,Surat
Maruti Eeco,Maruti,2014,180824,Petrol,Manual,6975,210000,12,Surat
Volkswagen VIRTUS,Volkswagen,2022,42256,Petrol,Manual,14554,850000,4,Surat
MG ASTOR,MG,2022,19813,Petrol,Manual,18304,1069000,4,Surat
Hyundai Elite i20,Hyundai,2015,80306,Diesel,Manual,12621,380000,11,Surat
Mahindra MARAZZO,Mahindra,2019,89149,Diesel,Manual,7961,451000,7,Surat
Maruti Alto,Maruti,2010,78556,Petrol,Manual,7961,90000,16,Surat
Tata TIGOR,Tata,2022,95760,Petrol,Manual,8809,499000,4,Surat
Maruti Ertiga,Maruti,2017,105758,Diesel,Manual,13347,600000,9,Surat
Mahindra Quanto,Mahindra,2013,110276,Diesel,Manual,9773,110000,13,Surat
Hyundai New Elantra,Hyundai,2012,145714,Diesel,Auto,9773,266000,14,Surat
Datsun Redi Go,Datsun,2019,90006,Petrol,Manual,2577,146000,7,Surat
Hyundai i10,Hyundai,2011,84113,Petrol,Manual,2577,122000,15,Surat
Hyundai Accent,Hyundai,2011,151272,Petrol,Manual,2577,95000,15,Surat
Maruti Swift,Maruti,2019,28931,Petrol,Manual,8932,505999,7,Surat
Maruti Ciaz,Maruti,2017,124681,Petrol,Manual,10054,451999,9,Surat
Hyundai i10,Hyundai,2011,90974,Petrol,Manual,10054,113999,15,Surat
Hyundai Elite i20,Hyundai,2019,120832,Petrol,Manual,10166,457000,7,Surat
Maruti Baleno,Maruti,2021,50388,Petrol,Manual,8297,470000,5,Surat
Mahindra XUV300,Mahindra,2019,86052,Diesel,Manual,11474,650000,7,Surat
Chevrolet Sail UVA,Chevrolet,2012,139918,Diesel,Manual,11474,95000,14,Surat
Maruti Eeco,Maruti,2014,79366,Petrol,Manual,5547,167000,12,Surat
Maruti Ertiga,Maruti,2013,149878,Diesel,Manual,35540,400000,13,Surat
Honda WR-V,Honda,2017,128338,Diesel,Manual,11589,521000,9,Surat
Maruti Baleno,Maruti,2020,64016,Petrol,Auto,8720,494000,6,Surat
Renault Kiger,Renault,2022,45252,Petrol,Manual,9603,544000,4,Surat
Chevrolet Sail UVA,Chevrolet,2012,115429,Diesel,Manual,9603,110000,14,Surat
Tata NEXON,Tata,2017,128966,Diesel,Manual,7563,340000,9,Surat
Ford Ecosport,Ford,2014,100002,Diesel,Manual,14640,311000,12,Surat
Hyundai Creta,Hyundai,2016,84295,Petrol,Manual,14459,650000,10,Surat
Maruti Swift Dzire,Maruti,2015,168545,Diesel,Manual,11592,349000,11,Surat
Ford Ecosport,Ford,2017,116788,Diesel,Manual,8609,387000,9,Surat
Maruti Vitara Brezza,Maruti,2018,124608,Diesel,Auto,11033,496000,8,Surat
Maruti Wagon R 1.0,Maruti,2011,114421,Petrol,Manual,11033,129000,15,Surat
Maruti Alto K10,Maruti,2023,42247,Petrol,Manual,7785,441000,3,Surat
Honda Amaze,Honda,2016,85639,Diesel,Manual,9138,347000,10,Surat
Tata NEXON,Tata,2020,61926,Diesel,Manual,12533,710000,6,Surat
Hyundai Elite i20,Hyundai,2015,212080,Petrol,Manual,8954,340000,11,Surat
KIA SONET,KIA,2021,19150,Petrol,Manual,11951,677000,5,Surat
Skoda Rapid,Skoda,2017,212420,Diesel,Auto,13124,590000,9,Surat
Honda WR-V,Honda,2018,85872,Diesel,Manual,9775,500000,8,Surat
Maruti Eeco,Maruti,2018,131786,Petrol,Manual,6629,298000,8,Surat
Mahindra XUV500,Mahindra,2016,84561,Diesel,Auto,14457,549000,10,Surat
Maruti Ertiga,Maruti,2023,59678,Petrol,Manual,16232,948000,3,Surat
Mahindra XUV500,Mahindra,2017,112720,Diesel,Manual,14348,645000,9,Surat
Hyundai Grand i10,Hyundai,2015,7607,Petrol,Manual,9138,347000,11,Surat
Renault Pulse,Renault,2013,163958,Diesel,Manual,12261,138000,13,Surat
Honda City,Honda,2016,224000,Petrol,Manual,10099,454000,10,Surat
KIA CARENS,KIA,2023,25206,Petrol,Manual,18578,1085000,3,Surat
Tata ALTROZ,Tata,2022,89122,Diesel,Manual,10150,575000,4,Surat
Skoda Superb,Skoda,2014,76086,Petrol,Auto,14946,450000,12,Surat
Mahindra XUV500,Mahindra,2017,67973,Diesel,Manual,13547,609000,9,Surat
Maruti New Wagon-R,Maruti,2020,117543,Petrol,Manual,8675,390000,6,Surat
Honda City,Honda,2022,111912,Petrol,Manual,12835,577000,4,Surat
Maruti Vitara Brezza,Maruti,2020,61770,Petrol,Manual,9903,561000,6,Surat
Hyundai VENUE,Hyundai,2022,95679,Diesel,Manual,13222,749000,4,Surat
Tata NEXON,Tata,2022,66610,Diesel,Auto,14897,869999,4,Surat
Maruti Baleno,Maruti,2018,64986,Petrol,Auto,7661,434000,8,Surat
Volkswagen Vento,Volkswagen,2018,152673,Diesel,Auto,14459,650000,8,Surat
Maruti Vitara Brezza,Maruti,2020,80250,Petrol,Manual,11615,658000,6,Surat
Mahindra XUV500,Mahindra,2015,101937,Diesel,Manual,17936,540000,11,Surat
Ford Ecosport,Ford,2013,125006,Diesel,Manual,28254,318000,13,Surat
Hyundai Verna,Hyundai,2023,38358,Petrol,Manual,19434,1135000,3,Surat
Hyundai Creta,Hyundai,2017,88650,Diesel,Auto,16728,752000,9,Surat
KIA SYROS,KIA,2025,10837,Petrol,Manual,16181,944999,1,Surat
Tata NEXON,Tata,2024,24197,Petrol,Auto,13972,816000,2,Surat
Maruti Swift Dzire,Maruti,2016,77096,Diesel,Auto,11192,425000,10,Surat
Tata ALTROZ,Tata,2022,27010,Petrol,Auto,11368,644000,4,Surat
Honda WR-V,Honda,2020,87672,Petrol,Manual,10768,610000,6,Surat
Hyundai AURA,Hyundai,2023,19624,Petrol,Manual,12922,732000,3,Surat
Tata ALTROZ,Tata,2022,57910,Diesel,Manual,12392,702000,4,Surat
Mahindra XUV500,Mahindra,2020,73442,Diesel,Manual,14965,874000,6,Surat
